"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
64;"Q2,Q1";"TSX-3.2x2.5mm_GND(3)";2;"Q12MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-12.000MHZ-D2Y-T)";;;
65;"R12";"R_0402_5MIL_DWS";1;"1.3R/1%/R0402";;;
66;"USB-PGM1,USB-PWR1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";2;"USB-C-16P-F(A40-00119-A52-12)";;;
67;"FET1";"SOT23";1;"IRLML6402TRPbF";;;
68;"RM1";"RA0805_(4X0402)_xx_BIGGEROUTPADS";1;"RA0805_(4X0402)_33R";;;
69;"C49,C50";"C_0402_5MIL_DWS";2;"20pF/50V/5%/NP0/C0402";;;
70;"D5,D6,D8";"SOD-123_1C-2A_KA";3;"1N5819S4/SOD123";;;
71;"R22";"R_0402_5MIL_DWS";1;"2.7k/1%/R0402";;;
72;"R73";"R_0402_5MIL_DWS";1;"10R/R0402";;;
73;"C30,C31";"C_0402_5MIL_DWS";2;"NA(27pF/50V/5%/C0G/C0402)";;;
74;"L2";"L_2016_MM";1;"3.3uH/2.0A/DCR=140mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-3R3MTS00)";;;
75;"R26,R19";"R_0402_5MIL_DWS";2;"49.9k/1%/R0402";;;
76;"PWR_ON/OFF1";"SS-12D11G5";1;"SS-12D11G5";;;
77;"R96,R98";"R_0402_5MIL_DWS";2;"NA(33R/R0402)";;;
78;"U11";"SO-16";1;"PAM8003DR(SO-16)";;;
79;"C37";"C_0402_5MIL_DWS";1;"NA(120pF/50V/5%/C0G/C0402)";;;
80;"U8";"QFN-20_EP(21)_3x3x0.6mm_Pitch_0.4mm";1;"ES8311(QFN-20)";;;
81;"R23";"R_0402_5MIL_DWS";1;"8.25k/1%/R0402";;;
82;"L4";"L_2016_MM";1;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
83;"L3";"CD42(43)";1;"4.7uH/2.33A/DCR=70mR/20%/CD43(NRS4018T4R7MDGJ)";;;
84;"BAT1";"PH2.0-2AT(BAT)";1;"PH2.0-2AT";;;
85;"U3";"QFN-80_10.00x10.00x0.90mm_P0.4mm";1;"RP2350B(QFN-80_10.00x10.00x0.90mm_P0.4mm)";;;
86;"C57";"C_0402_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0402)";;;
87;"VR1";"SOT-23-5";1;"AP1231-3.3V(SOT23-5)";;;
88;"HSDA1,HSCL1,+5V_USB1,GNDA1,GND2,VBUS1,+5V1,+5VA1,+1V1,+3.3VA1,VBAT1,+3.3V1";"TESTPAD_40-ROUND";12;"TESTPAD";;;
89;"AMP_SHDN_E1";"SJ";1;"Opened";;;
